country,year,gross_output15,gross_output16,gross_output17,gross_output18,gross_output19,gross_output20,gross_output21,gross_output22,gross_output23,gross_output24,gross_output25,gross_output26,gross_output27,gross_output28,gross_output29,gross_output30,gross_output31,gross_output32,gross_output33,gross_output34,gross_output35,gross_output36
AZE,2012,3500721064,24917106,73498845,46774306,37644229,15042417,21987030,54706642,3024313780,232125196,91135309,411162803,441765683,217859211,354098861,15651748,236844885,21167155,47833835,5723959,13326630,62014014
AZE,2013,3471906503,16677267,65315898,50969930,27201893,19184466,25242785,61215411,3102711012,259305760,94371104,497379997,389030019,131856716,565342028,27055128,230061909,40090613,68329655,5923209,15911214,68097142
AZE,2014,3606502471,31301157,62099986,69539286,24407533,24492955,35788961,43410578,3637038661,318606027,87994105,637877575,358511783,167758444,710646295,21779930,206945131,30219013,31337790,105115331,17113577,62372573
AZE,2015,2676189091,26503957,29932732,51317438,11924096,15987288,31274767,36739530,2414339173,347659102,91905435,421490507,207525347,143199449,845602617,8926138,100047435,31114625,32955167,103019431,10902198,52944472
AZE,2016,2171436503,26032730,60793797,38290504,8499601,7610348,34947817,37704563,1549615159,235173796,114056208,248885457,180172361,83480707,526394948,9674565,51740842,21964317,24363353,97194875,7011873,41977237
AZE,2017,2225322140,26678749,62302436,39240709,8710524,7799204,35815070,38640226,1588069886,241009789,116886588,255061715,184643457,85552335,539457788,8037074,53024825,21886231,27468664,99606830,7185878,43018930
BEL,2010,49325403347,34324028566,5663768255,1117549269,14828323860,3853015318,5373189677,4627009116,56869985813,40050593011,9685382861,9781006560,23219145879,14845207643,15536160582,876849488,6820652944,3447304472,2119567504,21462827237,1927832084,14642216587
BEL,2011,56173237169,854237477,6149953778,1260851735,17738205476,4297321975,6647482678,4626366676,74524818457,47626275231,10633136629,11164307050,32620889547,17387103725,19760202323,1110772731,7186298837,1512838601,2260625341,26784134094,2230609332,19047245788
BEL,2012,52488265049,718237581,5036657099,842740692,477197555,3970607571,6200998845,4948001655,73538661764,59285823585,8843059307,10169293602,26283641389,14807258428,18048449244,855059246,5384212136,1156367465,2613175440,22479038488,2403333445,5928864802
BEL,2013,57401690875,688168087,4975443497,855065132,341760497,3905682728,6402764629,4141622219,70913577636,67532485463,9214787575,9909859930,24998041582,15684337311,19029049514,862501543,5027357971,1278065129,2178309116,23091141155,2540499448,5769698032
BEL,2014,56136606931,580711171,5253996582,867285559,600346808,4113801809,5971759285,4190088972,66646984717,64873540087,8919230064,9925557255,23299957665,15167214829,18698713855,1124477039,5093727137,1560178842,1617940229,22072729384,2654660647,5750459785
BEL,2015,47695192756,567287633,4626582886,821374795,98928749,3510307220,5794873672,3273410458,56280004843,60128607378,7437623531,9326807151,20790344000,13070573460,16123501667,453498568,3952935590,1580799846,1674309858,16004719972,2241726534,4912167569
BEL,2016,49473525184,528961834,4266759638,720104863,76656327,3529398697,4748709950,3049771412,34349554187,57504743490,8891027233,8543474642,19689503172,14006758155,17417245798,751026884,4064886923,1705068137,1891302978,15795738429,2436410203,4849480223
BEL,2017,53649721109,569643576,4374592206,753101473,74938275,4043736796,4808896021,2975218477,41810600625,65617980700,9797644562,9461491992,23066114468,15870686524,18658390116,621084793,4488971678,1691312598,2122708949,16110264284,2512854903,4827377204
BLR,2010,10414858160,864104981,961077282,1015051050,443620132,852740464,546192947,524932212,9830029109,5040106966,2012591866,2947219583,2458401483,1471559018,5207999973,143148811,1122689836,562784769,346026966,1911796539,692611214,1287396729
BLR,2011,11583571513,807086417,1143151699,1098616029,589894123,965595833,627161112,553150388,14995679478,8128940042,2556560387,3027794228,3125710673,1828021431,5684158621,167442350,1808283128,228051376,340775758,2945072189,1055240714,1668457990
BLR,2012,12740161979,917298628,1098335223,1098586533,541211362,979930670,543635212,574512420,15188821624,8747424462,2736940350,3306879775,3014515990,1910783221,6940390673,101625713,2095160192,137436872,310581774,2411990634,883622580,1709611708
BLR,2013,14491744602,866719991,1193859205,1128525942,565137471,1302924533,528362823,593566444,10823080839,5245265398,2872716257,3842723971,2863384660,1922930731,6805222831,135640296,2011815480,200993418,342569236,2341018603,824888319,1906189961
BLR,2014,14913997026,797829154,1064500956,1015755675,529218318,1388117487,500680442,539662374,10648829237,6545165736,2357954441,3682923093,2615767989,1740408331,4984080066,168723793,1669982653,234099304,242766195,1757869844,595207198,1821990110
BLR,2015,10597630102,541709336,828338587,836763047,358483355,1593272946,343052325,361657972,7653637105,5387214924,3495699545,2494748541,1786466448,1220790785,2274140069,76451597,1129579448,266494056,282258140,1052179419,354316879,1676081173
BLR,2016,9971689074,478630068,681570777,659879582,327690553,1057175872,403274991,189450648,5286324183,3864908525,1480238123,1658074160,1234979742,1340482810,2998597682,112701933,1145922999,255868971,283816075,1039928366,264865702,935905020
BLR,2017,11543052465,652943274,795423936,770109329,382429702,1233772077,470640161,221097479,6169379511,4510523124,1727504865,1935047567,1441277238,1564404092,3499499172,106620288,1337343989,290343988,364400870,1213643457,309110258,1092243506
BRA,2010,207532776043,6298876723,19900185138,18536847718,15235737060,10207866296,31806783320,8467724177,84112818300,122321646951,39170085498,34777112902,74721838057,37272504344,61854391730,4793555304,34015398240,18845702558,11587238396,132241118969,18736695719,21943992447
BRA,2011,253173929314,6223229631,22242672742,24880788772,17400903499,11392374833,33505964447,10067739739,97922027296,142998335753,46188915305,42375962516,81628553187,44236273403,72447832385,8974469957,36936887751,12222954517,18264685145,151040759097,21354045153,25154927969
BRA,2012,246022365825,6365538545,19503166555,22392905217,16310926547,11035845124,31232138752,8551376833,91532994482,134708149584,42108360739,39788389965,73059372198,38806241357,65851961195,6976087095,34210476435,9434340588,21319855370,126741121281,19285535227,25057636981
BRA,2013,242718163768,6088172149,18745630166,21736864295,15903106041,10660729682,30864832110,7834010099,90713023906,137207409342,42261027722,39397091215,75039521096,37873966705,69359744426,7948651367,34548337290,11778406910,20074885517,131237156722,19367553937,24471489349
BRA,2014,242370335221,5506049422,17926572663,20055126071,16034399767,10447825965,29865463469,7518982113,93713278044,136324821331,41396670650,38795444616,72055740619,35849453368,65334662161,9765335061,31227984251,13549115381,14050734601,108027881572,20752616713,24274586562
BRA,2015,186096882868,4039861385,12092043534,12908442504,10904028791,7390965594,23244827624,4773312365,65944037760,105630328077,28826601850,26232013007,50345197818,24500810964,43042075455,3081724596,22045653557,10742238461,11377680608,66108443766,15371566778,16637403424
BRA,2016,181270732151,3935093483,11778454054,12573680911,10621248738,7199291702,22642006986,4649523484,64233875505,102890959874,28079026055,25551724082,49039568681,23865418235,41925842126,4240758320,21473931747,9627860260,10679456369,64394017881,14972927656,16205936678
BRA,2017,209767695518,4553716321,13630105282,14550347083,12290979602,8331068186,26201480907,5380459465,74331867472,119066102321,32493235494,29568624860,56748914670,27617220531,48516863040,3978095732,24849776479,10832986890,13596113598,74517185291,17326771356,18753617588
BWA,2010,642736525,7491,114578292,9914,5755410,8369,8450,8120,43585,32502,14316,23307,31961,18988,17326,2435,10194,9369,5800,16971,6143,2098798396
BWA,2011,687165922,99215198,176449117,160292647,5147529,131864320,127467764,112410382,760028218,523782362,222749534,369918691,532077454,308890407,258466104,58424494,167002897,77690384,114247997,278406053,99738433,2386613142
BWA,2012,711012004,97783232,79182165,139841511,5893054,132308855,119097773,125864647,768099196,527859596,204046436,344499289,466765287,293832066,278940434,45597218,154411157,60496153,135434011,258696878,94697414,2347960975
BWA,2013,661013087,83213881,61615021,140091206,6846113,146323670,123823856,139116892,782296033,525212285,204766487,351431139,445539748,296498405,290015932,49444569,158401189,71951646,117452582,282066118,99644292,2357663889
BWA,2014,621095634,74754441,61986921,132728568,6517317,124635421,124770520,134505500,801786987,518400251,203540809,384511401,434964298,286859245,293114177,63183589,157807838,86112497,85591311,285235894,96787364,2504410260
BWA,2015,614065421,67596599,56254308,135345358,6235097,127560817,121504154,128133968,636725283,480340226,197869889,385588576,431618336,292284402,308729227,29535241,163240125,99993118,102993811,299488579,101031575,2405391673
BWA,2016,595285545,61562702,52664144,132750117,5916804,125038731,119796124,111340421,592840204,471320225,191340706,370083074,405649158,288267948,315559349,42127711,157814700,93940911,101539830,309685510,100912211,2389893909
BWA,2017,642237327,77866948,54235737,145746178,6243102,123247538,135925201,79780878,652303982,543213590,225559416,369896282,466166373,322505813,351929971,36118544,175109508,98356535,120572930,369148424,107872081,2662817246
CAN,2010,84449655055,1281231223,3013416323,2380088394,358982025,19652587018,24474324937,9004014899,66667588527,42117217372,21217657788,12611105233,42149728732,27837926619,26759090158,2018723245,9016017853,7936543008,4879765856,64889460212,18332840531,20212915820
CAN,2011,92206136038,1405319288,3008957779,2457210537,417467467,20113047494,24807211699,9093872754,81876804264,47557485314,23365931941,13112639220,49702019442,31389653280,38772195709,2252300911,10101612784,3067565185,4583843635,70857512296,21517921116,22238736331
CAN,2012,93360500727,1448346057,3121728844,2269936188,386586909,21471461827,23158934054,8990926632,85590088152,48518937377,23964532200,13708237089,46675246300,33426270131,43340316384,1176953375,9885001621,1591691566,3596926958,80455991265,21800410934,21510191275
CAN,2013,93401752967,1445433420,2962852873,1988004432,483834193,24478277758,22495126709,8612049753,82517902072,48230952314,24031651869,13226902972,43304475542,32864550975,39120335837,1455662817,8750854780,2157018618,3676380189,79661063297,22376793679,21635970002
CAN,2014,90218696236,1382600205,2987635894,2048826287,512558934,23876528901,22920910763,7731130408,76470447200,47226744296,23374768218,13086745833,43320134164,31493973899,35363321472,1945155540,8047101315,2698846142,2798763595,79465388006,26192375950,19746182324
CAN,2015,79192938305,1353092570,2577498362,1678648548,445049558,21433843224,20218399997,7065086491,46473614219,40364010420,21417054049,11250564851,35419524540,27106072404,31032398167,623295316,7622874870,2172675302,2301196881,77053551018,25371909736,18743255794
CAN,2016,80738916553,1460217293,2454006338,1885338011,293423118,22585538705,19219482420,7033580051,38157400785,37906725517,21373105478,10867624113,33818292591,26166042704,28666241533,1088550566,7415990644,2471353457,2741285260,79427896484,23810490418,18501140033
CAN,2017,86409118273,1562766682,2626348394,2017743142,314029887,24171695243,20569244677,7527540329,40837151376,40568871471,22874114217,11630844919,36193312580,28003653940,29294202137,1138364429,7936807180,3099947253,3890638420,85006026760,25482673912,19800453926
CHE,2010,27903634106,3412471992,1821419043,1254161248,464950229,7925859817,3843747410,4829367805,19853641840,78286476007,8004343939,6773741258,5563123561,18959063889,31118312301,6955850493,18891565446,27346693863,16814054035,1630568431,4001245416,9790560839
CHE,2011,34063678076,6216610743,2040911397,1415202109,634176004,9617156032,4387182085,5243160215,47621731820,89725426574,9197703787,23178308797,7238961618,23238545799,40412653119,14850490807,23050333276,20225915800,30223460567,17444323903,5209570474,12375801599
CHE,2012,33061798571,2801713826,1752901276,1203263839,563648359,9105009865,3698484528,4362908030,22007803117,92269817594,8331326818,8091085428,5570414005,19362251919,35767440460,11794852461,21980744246,15951156255,36046646946,1890696367,5538793128,10910345486
