country,code,year,valueCOMP,valueEMP,valueEMPE,valueGO,valueGO_PI,valueGO_PYP,valueGO_Q,valueH_EMP,valueH_EMPE,valueII,valueII_PI,valueII_PYP,valueII_Q,valueLP_QI,valueVA,valueVA_PI,valueVA_PYP,valueVA_Q
BEL,C21,2013,2200.9,23.075375,23.0295,13609.3,104.87,13679.5,12977.3,37678.377,37560.644,7542.4,110.611,7529.6,6818.8,98.26891495633987,6066.9,97.976,6149.9,6192.2
BEL,C21,2014,2102.3,22.931375,22.88025,14323.4,103.816,14468.8,13796.9,37382.627,37254.67,8215.5,109.864,8271.299999999999,7477.9,101.1801412487368,6107.9,96.559,6197.5,6325.6
BEL,C21,2015,2186.2,23.310375,23.25275,15735.9,105.868,15431,14863.7,37798.298,37658.154,10027.1,111.46,9883.6,8996.200000000001,90.88426949221386,5708.8,99.368,5547.4,5745.1
BEL,C21,2016,2461,25.039,24.97125,20662.1,106.064,20623.9,19480.8,40707.716,40545.187,13906.6,112.138,13822.5,12401.4,100.5390344232942,6755.5,98.69799999999999,6801.4,6844.6
BEL,C21,2017,2642.4,25.957625,25.89075,25679.9,104.1,26164.4,24668.5,42166.797,42006.036,18088.8,111.891,18128.6,16166.4,115.4551180661936,7591.1,93.236,8035.8,8141.8
BEL,C22_C23,2010,2922.6,54.4595,53.55175,12526.9,100,12256.1,12526.9,84597.378,82434.133,8293,100,8014.4,8293,100,4233.9,100,4241.7,4233.9
BEL,C22_C23,2011,3082.5,54.83225,53.9105,13688.6,103.141,13271.8,13271.7,86872.429,84621.65700000001,9275.700000000001,105.857,8762.5,8762.5,103.7131536087764,4412.9,97.864,4509.3,4509.2
BEL,C22_C23,2012,3127,53.8035,52.87925,13150.8,103.519,13102.8,12703.8,84556.944,82269.462,8936.299999999999,108.811,8693.799999999999,8212.700000000001,106.4610494867405,4214.5,93.545,4409,4505.3
BEL,C22_C23,2013,3086.6,52.316375,51.3775,12941.9,103.132,12990.4,12548.9,81854.36,79581.428,8835.1,109.063,8814.6,8100.9,108.9654825178042,4106.8,91.999,4175.8,4463.9
BEL,C22_C23,2014,3051.7,50.69824999999999,49.7435,12969.3,103.875,12876.6,12485.5,79665.273,77394.069,8779.9,107.995,8866.799999999999,8130,109.3136369077142,4189.4,96.121,4009.8,4358.4
BEL,C22_C23,2015,3031.7,49.90087500000001,48.9515,13915,104.351,13851.5,13334.8,78690.306,76475.21799999999,9491.4,106.126,9658.5,8943.5,110.7645138768312,4423.6,101.408,4193,4362.2
BEL,C22_C23,2016,3160.2,51.75975,50.82725,15149.7,104.639,15108,14478.1,81209.372,79084.30100000001,10337.9,105.121,10436.7,9834.299999999999,113.3394837040411,4811.8,104.457,4671.3,4606.5
BEL,C22_C23,2017,3233.8,51.93,51.04375,15807.1,106.037,15598.6,14907.1,81883.003,79841.598,10942.3,108.996,10553.3,10039.2,117.8608789580807,4864.8,100.72,5045.3,4830
BEL,C24_C25,2010,4793.6,93.40875,89.083,31006.7,100,28510.3,31006.7,143445.284,134177.624,24728,100,22407.4,24728,100,6278.7,100,6102.9,6278.7
BEL,C24_C25,2011,4978.3,93.784125,89.33,36534.1,107.407,34014.7,34014.7,147393.569,137350.087,29984.7,109.633,27350.1,27350.1,103.3028006149079,6549.4,98.27200000000001,6664.6,6664.6
BEL,C24_C25,2012,5077.4,92.194,87.76975,33683.5,103.904,34818.9,32417.8,144188.527,134556.344,27435.5,108.548,27709.6,25274.9,114.6257925169607,6248,86.366,7109.3,7234.3
BEL,C24_C25,2013,4941.8,86.726625,82.43075,30138.8,98.798,31696.7,30505.6,136323.302,126592.424,23978.3,104.09,25005.4,23036.2,129.8398574220849,6160.5,79.51600000000001,6691.3,7747.5
BEL,C24_C25,2014,4762.9,82.04124999999999,77.85299999999999,29402.1,96.419,30127.5,30494.1,129629.447,120070.968,23285.4,104.701,23149.4,22239.9,154.667686965989,6116.7,69.699,6978.1,8775.799999999999
BEL,C24_C25,2015,4645.9,80.51487499999999,76.28325,29749,91.78100000000001,31252.3,32413,128171.055,118322.067,23444.6,101.236,24247,23158.3,179.1525082489425,6304.4,62.726,7005.3,10050.7
BEL,C24_C25,2016,4752.9,82.10612499999999,77.8475,30345.8,91.152,30555.3,33291.6,130763.973,121221.544,23688.3,100.272,23916.2,23624.1,184.9228489521673,6657.5,62.9,6639.1,10584.3
BEL,C24_C25,2017,4879.1,82.836,78.605,35496.4,104.821,30867.5,33863.9,132305.663,123110.809,28209,110.539,25588.8,25519.4,144.9151977486372,7287.4,86.83499999999999,5278.7,8392.200000000001
BEL,C26,2010,699.4,10.6225,10.3975,3057.7,100,2980.3,3057.7,17030.013,16470.078,1977.6,100,1917.3,1977.6,100,1080.1,100,1063,1080.1
BEL,C26,2011,764.4,11.213625,10.97325,3253.9,104.768,3105.8,3105.8,18229.926,17625.546,2082.8,102.371,2034.5,2034.6,92.64813291776225,1171.1,109.322,1071.3,1071.2
BEL,C26,2012,806.1,10.9555,10.69425,3442.3,105.912,3405.1,3250.2,17800.65,17129.299,2219.1,103.362,2197.9,2146.9,97.81427144248609,1223.2,110.771,1207.2,1104.3
BEL,C26,2013,768.9,10.580625,10.324,3160.3,106.841,3132.8,2957.9,17209.159,16559.653,1960.2,102.825,1970.4,1906.4,96.14626682978908,1200.1,114.359,1162.4,1049.4
BEL,C26,2014,758.4,10.479375,10.2575,3215.8,107.654,3191.6,2987.2,16970.992,16420.87,1977.6,102.087,1991.9,1937.2,97.46768963246332,1238.2,118.026,1199.7,1049.1
BEL,C26,2015,800.1,10.496125,10.30425,3463.7,109.369,3409.3,3167,16913.717,16452.81,2213.4,102.627,2201.8,2156.7,95.374008997717,1250.3,122.21,1207.5,1023.1
BEL,C26,2016,893.2,11.45225,11.26175,4096.4,110.158,4067.1,3718.7,18352.401,17906.723,2645,102.882,2638.4,2570.9,100.4321210071581,1451.4,124.155,1428.7,1169
BEL,C26,2017,917.1,11.54675,11.36375,4174.2,109.688,4192.1,3805.5,18562.282,18130.542,2695.5,104.424,2655.7,2581.3,105.1150387597224,1478.7,119.492,1536.4,1237.5
BEL,C26_C27,2010,1815,30.49512481689453,30.0007495880127,7531.5,100,7329.39990234375,7531.5,48116.96875,46901.5234375,4716.2998046875,100,4636.2998046875,4716.2998046875,100,2815.199951171875,100,2693.10009765625,2815.199951171875
BEL,C26_C27,2011,1845.300048828125,30.31037521362305,29.79199981689453,7852.5,104.3521594684385,7525,7525,48133.98828125,46856.37109375,5007.5,102.3128986745782,4894.2998046875,4894.2998046875,93.41325009386034,2845,108.1461228116366,2630.699951171875,2630.699951171875
