country,code,year,valuecomp,valueemp,valueempe,valuego,valuego_pi,valuego_pyp,valuego_q,valueh_emp,valueh_empe,valueii,valueii_pi,valueii_pyp,valueii_q,valuelp_qi,valueva,valueva_pi,valueva_pyp,valueva_q
NLD,R,2016,3715,164,104,15079,111.97493,14965,13466.407,253664,126189,7757,107.04436,7741,7246.5283,86.014015,7322,117.56299,7224,6228.1509
NLD,R,2017,3879,168,107,15584,113.91196,15319,13680.741,258986,130527,8036,109.0528,7888,7368.9072,85.500633,7548,119.414,7431,6320.8672
NLD,R_S,2010,8218,355,239,25281,100,24722,25281,547395,298788,11489,100,11460,11489,100,13792,100,13262,13792
NLD,R_S,2011,8410,361,239,26051,102.32933,25458,25458,555087,299206,11972,102.29855,11703,11703,98.349716,14079,102.35551,13755,13755
NLD,R_S,2012,8295,358,232,25968,103.79626,25601,25018.244,547753,286616,12054,103.40518,11925,11657.056,96.813675,13914,104.13677,13676,13361.274
NLD,R_S,2013,8147,356,226,26128,105.66463,25666,24727.289,552246,278637,12447,105.22272,12232,11829.194,92.713341,13681,106.05145,13434,12900.342
NLD,R_S,2014,8267,359,224,26681,107.28103,26279,24870.193,553246,277327,12780,105.14045,12790,12155.17,91.246964,13901,109.29063,13489,12719.298
NLD,R_S,2015,8135,357,220,27328,108.25153,27083,25244.91,553599,272882,13154,105.78381,13074,12434.796,91.897247,14174,110.57787,14009,12818.117
NLD,R_S,2016,8386,360,223,27988,109.42443,27688,25577.469,564387,277997,13402,105.85489,13393,12660.729,90.910187,14586,112.82887,14295,12927.542
NLD,R_S,2017,8716,366,227,28920,111.04479,28498,26043.545,572875,284705,13798,107.37233,13603,12850.61,91.460579,15122,114.54839,14895,13201.408
NLD,S,2010,4578,200,133,11941,100,11720,11941,308965,170262,4955,100,4955,4955,100,6986,100,6765,6986
NLD,S,2011,4745,203,133,12249,101.94756,12015,12015,312729,170352,5097,101.41265,5026,5026,98.838829,7152,102.33224,6989,6989
NLD,S,2012,4629,200,127,12192,102.65483,12108,11876.693,305303,161207,5120,101.99033,5091,5020.0835,99.331879,7072,103.13433,7017,6857.0767
NLD,S,2013,4546,198,123,12317,104.08294,12148,11833.831,306177,155415,5321,104.10331,5213,5111.2686,97.129547,6996,104.0415,6935,6724.2402
NLD,S,2014,4598,197,121,12498,105.46689,12334,11850.165,304885,153652,5428,103.89277,5439,5224.6177,96.132965,7070,106.68214,6895,6627.1636
NLD,S,2015,4522,195,117,12609,105.07522,12656,11999.975,307010,149975,5549,104.40076,5522,5315.0957,96.331779,7060,105.57554,7134,6687.1548
NLD,S,2016,4671,196,119,12909,106.61134,12723,12108.469,310723,151808,5645,104.27145,5652,5413.7539,95.328957,7264,108.45718,7071,6697.5742
NLD,S,2017,4837,198,120,13336,107.88139,13179,12361.725,313889,154178,5762,105.12898,5715,5480.8862,96.965652,7574,110.05556,7464,6881.9785
NLD,T,2010,430,20,20,430,100,422,430,21366,21350,,,,,100,430,100,422,430
NLD,T,2011,449,24,24,449,101.12613,444,444,22605,22589,,,,,97.596275,449,101.12613,444,444
NLD,T,2012,490,24,24,490,102.59172,483,477.62137,24109,24092,,,,,98.437218,490,102.59172,483,477.62137
NLD,T,2013,481,22,22,481,102.37888,482,469.82349,24574,24557,,,,,94.997818,481,102.37888,482,469.82349
NLD,T,2014,482,22,22,482,103.02008,479,467.86996,25056,25039,,,,,92.782951,482,103.02008,479,467.86996
NLD,T,2015,532,23,23,532,105.39747,520,504.75595,23940,23930,,,,,104.764,532,105.39747,520,504.75595
NLD,T,2016,591,23,23,591,106.47847,585,555.04181,25451,25440,,,,,108.36165,591,106.47847,585,555.04181
NLD,T,2017,608,23,23,608,107.36137,603,566.31171,26032,26020,,,,,108.09429,608,107.36137,603,566.31171
NLD,TOT,2010,311717,8779,7397,1195401,100,1164752,1195401,12462962,10035011,621121,100,595092,621121,100,574280,100,569660,574280
NLD,TOT,2011,319557,8855,7444,1259736,102.46721,1229404,1229404,12575696,10110107,673783,104.56332,644378,644378,100.95799,585953,100.15845,585026,585026
NLD,TOT,2012,323867,8837,7400,1279698,104.62554,1253299,1223122,12464675,9976267,689382,107.26796,672000,642672.81,101.0482,590316,101.7121,581299,580379.38
NLD,TOT,2013,324676,8733,7286,1283977,104.82139,1281578,1224918.9,12354566,9856471,688268,107.04415,689707,642975.81,102.21734,595709,102.37165,591871,581908.19
NLD,TOT,2014,328166,8725,7245,1303026,104.30261,1309507,1249274.6,12438319,9869529,698212,105.97922,705228,658819.75,102.98968,604814,102.46228,604279,590279.63
NLD,TOT,2015,330267,8808,7315,1338856,103.59824,1347959,1292354,12558566,9917996,718021,103.83675,732836,691490.25,103.7422,620835,103.41374,615123,600340.94
NLD,TOT,2016,340586,8905,7419,1360246,102.62573,1373136,1325443.4,12804417,10140463,725422,101.77837,740093,712746.75,103.75111,634824,103.70469,633043,612145.94
NLD,TOT,2017,353289,9098,7604,1428561,104.52451,1402610,1366723.5,13051749,10377020,768168,104.29085,749662,736563.19,104.69093,660393,104.88714,652948,629622.44
NLD,TOT_IND,2010,311287,8756,7378,1194971,100,1164330,1194971,12441597,10013661,621121,100,595092,621121,100,573850,100,569238,573850
NLD,TOT_IND,2011,319108,8831,7422,1259287,102.4677,1228960,1228960,12553091,10087518,673783,104.56332,644378,644378,100.96539,585504,100.15772,584582,584582
NLD,TOT_IND,2012,323377,8813,7375,1279208,104.6263,1252816,1222644.9,12440568,9952176,689382,107.26796,672000,642672.81,101.06288,589826,101.71143,580816,579901.38
NLD,TOT_IND,2013,324195,8711,7264,1283496,104.8223,1281096,1224449.4,12329991,9831915,688268,107.04415,689707,642975.81,102.23944,595228,102.37169,591389,581438.06
NLD,TOT_IND,2014,327684,8701,7224,1302544,104.30309,1309028,1248806.8,12413264,9844490,698212,105.97922,705228,658819.75,103.01607,604332,102.46189,603800,589811.5
NLD,TOT_IND,2015,329735,8783,7292,1338324,103.59751,1347439,1291849.6,12534626,9894067,718021,103.83675,732836,691490.25,103.75253,620303,103.41215,614603,599835.69
NLD,TOT_IND,2016,339995,8883,7397,1359655,102.62415,1372551,1324888,12778964,10115020,725422,101.77837,740093,712746.75,103.76293,634233,103.70238,632458,611589.63
NLD,TOT_IND,2017,352681,9076,7580,1427953,104.52334,1402007,1366157.1,13025718,10351000,768168,104.29085,749662,736563.19,104.70435,659785,104.8851,652345,629055
PRT,A,2010,936.09998,543.17999,94.489998,7566.8999,100,7407.3999,7566.8999,797923,174089,4103.5,100,3978.3999,4103.5,100,3463.3999,100,3429,3463.3999
PRT,A,2011,902.79999,527.89001,90.25,7722.2998,101.52638,7606.2002,7606.2002,764076,166769,4513.6001,109.71051,4114.1001,4114.1001,105.29517,3208.7,91.884537,3492.1001,3492.1001
PRT,A,2012,899,537.78003,93.07,7866.2998,104.81075,7619.7998,7505.2412,764062,169306,4654.6001,115.252,4430.7998,4038.6287,104.65063,3211.7,92.538589,3189,3470.6602
PRT,A,2013,924.09998,508.97,94.900002,8051.7002,105.18437,8023.1001,7654.8442,731457,176758,4509.6001,110.1075,4720.2998,4095.634,112.41621,3542,99.240547,3302.8,3569.1057
PRT,A,2014,963.90002,485.73001,98.449997,8069.7002,103.01298,8239.7998,7833.6733,691077,181250,4558.2998,105.52827,4756.1001,4319.5059,117.02631,3511.5,100.03249,3483.7,3510.3596
PRT,A,2015,1018.1,458.28,101.17,8321.0996,102.15241,8391.2002,8145.7695,677622,188239,4634.6001,104.02222,4701.7002,4455.394,125.39993,3686.6001,99.953865,3689.5,3688.3018
PRT,A,2016,1098,441.42999,105.65,8304.7002,102.33478,8289.9004,8115.2275,649874,197890,4661.7002,102.40543,4735.2998,4552.2002,126.06894,3643,102.44252,3554.5,3556.1406
PRT,A,2017,1138.7,429.45001,103.39,8623.5,,,,633131,196932,4775.7998,,,,135.44136,3847.7,103.37479,3813,3722.0874
PRT,B,2010,244.3,14.72,13.44,1360.2,100,1231.2,1360.2,27219,24605,646.20001,100,612,646.20001,100,714,100,619.20001,714
PRT,B,2011,239.89999,14.09,12.72,1334.9,99.835464,1337.1,1337.1001,26115,23273,684.79999,110.06107,622.20001,622.20001,104.35883,650.09998,90.935799,714.90002,714.90002
PRT,B,2012,229.7,12.8,11.41,1277,101.46429,1256.5,1258.5708,23395,20634,641.29999,109.02405,647.40002,588.21887,109.1452,635.70001,94.907051,609.09998,669.81329
PRT,B,2013,214.7,11.93,10.61,1162.4,95.569321,1234.1,1216.2899,21738,19248,592.5,105.00121,615.20001,564.27917,114.36059,569.90002,87.392998,618.90002,652.11176
PRT,B,2014,218.60001,11.67,10.47,1113.1,93.069298,1143,1195.9905,21099,18768,583.29999,105.05524,583,555.23169,115.77731,529.70001,82.664421,560,640.78357
PRT,B,2015,222.39999,11.53,10.37,1116.4,90.539009,1147.6,1233.0597,20770,18547,615.90002,104.31005,620.29999,590.45129,117.07835,500.5,78.463005,527.29999,637.88025
PRT,B,2016,215.60001,11.4,10.23,1091.8,90.076988,1097.4,1212.0742,20223,17840,589.40002,102.9994,596.90002,572.23633,120.22112,502.39999,78.776604,500.39999,637.75281
PRT,B,2017,234.7,12.09,10.63,1229.6,,,,21500,18383,635.59998,,,,138.15453,594.09998,76.24826,613.79999,779.16534
PRT,C,2010,11499.6,727.38,684.48999,76143.297,100,73442.5,76143.297,1350687,1265762,55321.199,100,52522.801,55321.199,100,20822.1,100,20919.699,20822.1
PRT,C,2011,11380.3,713.32001,671.5,80457.297,104.99561,76629.203,76629.203,1320362,1236779,60498.102,108.65417,55679.5,55679.5,102.92361,19959.199,95.272003,20949.699,20949.701
PRT,C,2012,10913.7,686.20001,644.73999,78932.797,106.17787,78053.898,74340.156,1267825,1185528,59766.602,110.47808,58779.898,54098.152,103.50884,19166.199,94.739143,19274,20230.498
PRT,C,2013,10833.8,673.71997,633.34998,79655,105.2122,80386.102,75708.898,1250025,1171063,59975.5,108.45706,61093.102,55298.84,105.67678,19679.5,96.637566,19292.9,20364.234
PRT,C,2014,11180.2,688.90997,648.53003,80534,103.53184,81841.102,77786.703,1274194,1195498,60113.301,105.77938,61635,56828.941,106.44644,20420.699,97.66391,20206.1,20909.156
PRT,C,2015,11632.2,710.57001,670.65997,82229.203,100.53091,84683.797,81794.938,1308361,1230525,60368.602,100.30997,63660.199,60182.051,106.72681,21860.6,101.55263,21023.5,21526.377
PRT,C,2016,12154.3,722.87,683.90002,82439.602,98.346619,84270.602,83825.555,1327059,1252838,59500.301,96.576309,61800.602,61609.625,108.15632,22939.301,103.67361,22470,22126.459
PRT,C,2017,13005.5,750.25,713,91649.602,,,,1367889,1297543,67356.398,,,,108.91343,24293.199,105.7749,23810.6,22966.885
PRT,C10-C12,2010,1708.1,112.11,107.39,14811.4,100,14951.9,14811.4,214562,205366,11243.6,100,11204.6,11243.6,100,3567.8,100,3747.3,3567.8
PRT,C10-C12,2011,1666.8,109.05,103.99,15364.1,103.51075,14843,14843,209404,200063,11946.4,107.21183,11142.8,11142.801,106.26556,3417.7,92.36528,3700.2,3700.2
PRT,C10-C12,2012,1620,105.47,100.56,15549,105.46416,15261,14743.396,201259,191884,12194.9,110.44692,11837.7,11041.412,110.74408,3354.1001,90.500809,3423.2,3706.1545
PRT,C10-C12,2013,1612.6,103.02,98.089996,15906.6,106.92691,15689,14876.144,197837,188805,12397.5,111.0885,12325.9,11160.021,112.96192,3509,94.426971,3363.1001,3716.0991
PRT,C10-C12,2014,1642.7,104.73,99.730003,15959.8,104.89278,16269.3,15215.348,198170,189446,12216.5,106.87694,12697.9,11430.436,114.77752,3743.3,98.97197,3571.3999,3782.1819
PRT,C10-C12,2015,1692.7,107.59,102.75,16150.9,104.46394,16217.2,15460.741,202572,194142,12297,105.56945,12449.3,11648.256,113.02123,3853.8999,101.23094,3767.8999,3807.0374
PRT,C10-C12,2016,1770,110.26,105.31,16511,103.70022,16632.6,15921.856,207520,199003,12417.3,103.56607,12657.5,11989.737,113.79604,4093.7,104.25124,3975.1001,3926.7639
PRT,C10-C12,2017,1893.2494,114.01719,109.51387,18178.385,,,,212846.75,205409.78,13888.609,,,,114.46417,4309.0342,106.36423,4223.4321,4051.2056
PRT,C13-C15,2010,2087.7,203.7,186.64,8682.2002,100,8584.7998,8682.2002,375854,340619,5318.7998,100,5184.7998,5318.7998,100,3363.3999,100,3400,3363.3999
PRT,C13-C15,2011,2091.5,201.78999,185.19,9013.5,103.76805,8686.2002,8686.2002,370011,334192,5629.2002,108.44362,5190.8999,5190.9004,105.5627,3384.3,96.824303,3495.3,3495.3
PRT,C13-C15,2012,2043.4,195.66,178.94,8922.4004,104.0912,8894.7002,8571.7139,361125,325385,5548,108.07351,5567,5133.543,106.35132,3374.3999,98.183113,3327.7,3436.8438
PRT,C13-C15,2013,2094.3999,196.67,180.14999,9497.9004,104.60665,9451.0996,9079.6328,363792,329428,5934.3999,107.14727,5985.7002,5538.5449,108.41868,3563.3999,100.95969,3465.3999,3529.5278
PRT,C13-C15,2014,2236.7,204.74001,187.81,10055.9,105.41489,9978.7998,9539.3555,377489,342172,6270.8999,107.04655,6276.7998,5858.1055,108.54874,3785,103.22323,3702,3666.8103
PRT,C13-C15,2015,2355.7,211.3,194.45,10505.8,105.84914,10462.7,9925.2588,386644,351446,6515.6001,107.81934,6468.8999,6043.0718,111.82764,3990.2,103.1276,3993.8999,3869.1873
PRT,C13-C15,2016,2478.3,211.44,195.55,10876.6,105.05518,10958.8,10353.227,385156,353141,6687.2998,105.48172,6835.5,6339.7715,116.00428,4189.3999,104.78082,4123.2998,3998.2507
PRT,C13-C15,2017,2642.8384,221.27411,205.29832,11900.544,,,,400620.88,368164.44,7420.0254,,,,115.73047,4435.4414,106.90456,4347.3286,4148.9731
PRT,C16-C18,2010,1143.9,68.07,63,7337.8999,100,6883.2002,7337.8999,129068,117348,4890.8999,100,4634.7002,4890.8999,100,2446.8999,100,2248.5,2446.8999
PRT,C16-C18,2011,1094.8,64.699997,59.830002,7585.5,99.00544,7661.7002,7661.7002,122174,111418,5323.2002,101.20921,5259.6001,5259.6001,103.70857,2262.3999,94.18425,2402.1001,2402.1001
