country,year,isic,value_added,gross_output
8,2012,21,18699534.22386685,49830836.54859304
8,2013,21,15411294.19570081,44076006.20302931
8,2014,21,18588738.41091382,50420082.86424293
8,2015,21,13001930,42169979
8,2016,21,15586931,45371704
8,2017,21,17219789,50125571
8,2010,22,27332084.86892682,64917693.09121183
8,2011,22,27235449.93888398,58092286.88197008
8,2012,22,22449354.77613315,52661111.45140696
8,2013,22,19198272.80429919,49515289.79697069
8,2014,22,22072298.58908618,54345685.13575707
8,2015,22,30812713,59761280
8,2016,22,25808864,57657488
8,2017,22,28512552,63698611
8,2010,23,8583062.996443952,78482289.02357049
8,2011,23,18324704.91590264,128985567.6129782
8,2012,23,32728393.49617768,132233365.9348733
8,2013,23,8493315.104041768,64830421.32779135
8,2014,23,13702105.33160214,71562307.16181111
8,2015,23,3155224,19572535
8,2016,23,2765511,10188719
8,2017,23,3055221,11256253
8,2010,24,10110625.09905365,57116999.3436405
8,2011,24,20131562.22170743,86435073.0164324
8,2012,24,37487590.95637623,88401973.23144601
8,2013,24,9257696.11488265,42079242.77980774
8,2014,24,15589447.03984275,44769087.08881585
8,2015,24,16830629,42902226
8,2016,24,13202743,40075439
8,2017,24,14585837,44274385
8,2010,25,4032382.1405762,25311671.19416639
8,2011,25,7629237.862389921,37195838.06838344
8,2012,25,13476577.8352032,34559653.28977513
8,2013,25,3440956.107543835,16329611.64109739
8,2014,25,5632194.17039426,17488820.96154289
8,2015,25,8536444,38440763
8,2016,25,10968109,46659602
8,2017,25,12117107,51548410
8,2010,26,83721934,327747477
8,2011,26,67883305,354005223
8,2012,26,72693311,316188642
8,2013,26,80722070,321525529
8,2014,26,96960990,319081915
8,2015,26,69938012,255766726
8,2016,26,71525089,258232113
8,2017,26,79017923,285288649
8,2010,27,34311915.43484262,158913172.2688287
8,2011,27,25967799.85228363,179937488.8483244
8,2012,27,25775015.08366608,194037853.0926518
8,2013,27,36829159.87832742,187516843.2669561
8,2014,27,38677822.89131777,196749838.8708733
8,2015,27,31669078,168886662
8,2016,27,42049643,159144212
8,2017,27,46454685,175818711
8,2010,28,31046387.38278021,95122832.18895145
8,2011,28,22573147.9958587,105233535.7421495
8,2012,28,25789225.98311577,122992969.7405305
8,2013,28,38235532.14785513,125928557.7809
8,2014,28,38348548.90315709,130908039.3531366
8,2015,28,40843918,158183632
8,2016,28,45904781,180874779
8,2017,28,50713679,199826121
8,2010,29,29730597.18237716,89256780.54221986
8,2011,29,21651716.37563338,89757862.77027047
8,2012,29,26140322.89864642,117852214.1668177
8,2013,29,38009182.21832817,123865901.1166964
8,2014,29,39438642.70392576,134915608.5053903
8,2015,29,4395992.49284616,7245320.894078631
8,2016,29,4172357.402702671,6488811.382615147
8,2017,29,4512762.445725714,7002089.835907175
8,2010,30,206395.885947746,586958.4307128504
8,2011,30,284863.9278763389,472074.2107331947
8,2012,30,253749.767670227,224531.0468367758
8,2013,30,388427.5764870766,335086.3021910463
8,2014,30,377435.6117535731,328162.5261402582
8,2015,30,338881.8171243442,290124.9748798213
8,2016,30,425110.5548614266,503789.2203308599
8,2017,30,447839.8197588827,529916.2690796658
8,2010,31,2367224.14367973,4603407.175846715
8,2011,31,1925840.932555015,5098135.746177398
8,2012,31,2211715.338385402,4629030.349884738
8,2013,31,2567303.161655664,4969996.572430455
8,2014,31,1743521.632219712,3248064.275440333
8,2015,31,2121653.469618334,7360609.188263617
8,2016,31,1756226.696282072,6492429.394653771
8,2017,31,1800827.950226,6610388.368953144
8,2010,32,1601415.269010425,2307607.46378063
8,2011,32,477602.9699643528,642950.6850130708
8,2012,32,526467.6992217981,303651.9383246822
8,2013,32,874428.3583913951,496534.9006949263
8,2014,32,812824.7912381468,455315.8598952075
8,2015,32,1086970.142802564,1011314.141168799
8,2016,32,1432091.251430108,1143760.584192641
8,2017,32,1665304.795673535,1443046.216508772
8,2010,33,819119.0483746314,1418827.328157787
8,2011,33,434657.24659024,960757.2219297204
8,2012,33,599497.6344233457,686196.9151486912
8,2013,33,798881.7214470147,846284.3373580343
8,2014,33,556601.6286690565,472172.6937250479
8,2015,33,636334.6365932156,1071137.019908004
8,2016,33,704246.6079066746,1268687.01094485
8,2017,33,856014.4920351672,1811118.25250583
8,2010,34,3268684.161685629,7663606.732533231
8,2011,34,2853722.452394605,8767850.329588166
8,2012,34,3089582.08473707,7831939.501157794
8,2013,34,3647250.934110166,8946280.464809528
8,2014,34,2725624.584793718,5996552.315921801
8,2015,34,2901577.975840147,6950674.426747092
8,2016,34,2824653.74284023,6304554.416796533
8,2017,34,3212701.068228617,7275051.87670293
8,2010,35,1492363.642821144,2776393.753054993
8,2011,35,1336562.537384715,3141584.331052993
8,2012,35,1478592.34953909,2869197.953169249
8,2013,35,1678314.529722507,3152338.151839027
8,2014,35,1136196.920685757,2030406.92552662
8,2015,35,1205780.884037041,2340609.625364478
