"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Bangladesh","2.1","Industries","Forestry, logging and related service activities","02","2017","100","taka","1993","Fiscal year ending 30 June","256676000000","",""
"Bangladesh","2.1","Industries","Fishing","B","2017","100","taka","1993","Fiscal year ending 30 June","596270000000","",""
"Bangladesh","2.1","Industries","Mining and quarrying","C","2017","100","taka","1993","Fiscal year ending 30 June","341270000000","",""
"Bangladesh","2.1","Industries","Manufacturing","D","2017","100","taka","1993","Fiscal year ending 30 June","3418287000000","",""
"Bangladesh","2.1","Industries","Electricity, gas and water supply","E","2017","100","taka","1993","Fiscal year ending 30 June","262435000000","",""
"Bangladesh","2.1","Industries","Construction","F","2017","100","taka","1993","Fiscal year ending 30 June","1461073000000","",""
"Bangladesh","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","100","taka","1993","Fiscal year ending 30 June","2632763000000","",""
"Bangladesh","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","100","taka","1993","Fiscal year ending 30 June","2439581000000","",""
"Bangladesh","2.1","Industries","Hotels and restaurants","H","2017","100","taka","1993","Fiscal year ending 30 June","193182000000","",""
"Bangladesh","2.1","Industries","Transport, storage and communications","I","2017","100","taka","1993","Fiscal year ending 30 June","1870755000000","",""
"Bangladesh","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","100","taka","1993","Fiscal year ending 30 June","1639096000000","",""
"Bangladesh","2.1","Industries","Post and telecommunications","64","2017","100","taka","1993","Fiscal year ending 30 June","231659000000","",""
"Bangladesh","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","100","taka","1993","Fiscal year ending 30 June","2177438000000","",""
"Bangladesh","2.1","Industries","Financial intermediation","J","2017","100","taka","1993","Fiscal year ending 30 June","732046000000","",""
"Bangladesh","2.1","Industries","Real estate, renting and business activities","K","2017","100","taka","1993","Fiscal year ending 30 June","1445392000000","",""
"Bangladesh","2.1","Industries","Public administration and defence; compulsory social security","L","2017","100","taka","1993","Fiscal year ending 30 June","784407000000","",""
"Bangladesh","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","100","taka","1993","Fiscal year ending 30 June","3100549000000","",""
"Bangladesh","2.1","Industries","Education","M","2017","100","taka","1993","Fiscal year ending 30 June","568555000000","",""
"Bangladesh","2.1","Industries","Health and social work","N","2017","100","taka","1993","Fiscal year ending 30 June","389867000000","",""
"Bangladesh","2.1","Industries","Other community, social and personal services","O","2017","100","taka","1993","Fiscal year ending 30 June","2142127000000","",""
"Bangladesh","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","100","taka","1993","Fiscal year ending 30 June","18699230000000","",""
"Bangladesh","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","100","taka","1993","Fiscal year ending 30 June","1058923000000","",""
"Bangladesh","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","100","taka","1993","Fiscal year ending 30 June","19758154000000","",""
"Belize","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","100","Belize dollar                           ","1993","Western calendar year","403419000","",""
"Belize","2.1","Industries","Agriculture, hunting, forestry","A","2017","100","Belize dollar                           ","1993","Western calendar year","364823000","",""
"Belize","2.1","Industries","Agriculture, hunting and related service activities","01","2017","100","Belize dollar                           ","1993","Western calendar year","352241000","",""
"Belize","2.1","Industries","Forestry, logging and related service activities","02","2017","100","Belize dollar                           ","1993","Western calendar year","12582000","",""
"Belize","2.1","Industries","Fishing","B","2017","100","Belize dollar                           ","1993","Western calendar year","38596000","",""
